"username","komentar"
"herry.nurdiansyah87","Haji Bolot (Gubernur), Malih TongTong (Wakil) ini aja udeh 😂"
"javar_sadeq","Ridwan kamil & pak ahok mantab"
"handayaniwoke","Ahokkkk"
"sigasigi","Heru mah 0,1 min jgn di gede""in"
"sucipto.tjauw","Ahok kaesang SUDAH PALING BENAR"
"agung.kharisma.948","Anies dunk"
"deesisem","Ahok-Anies🙂"
"dhelapantujuh_____","Sri mulyani udah cocok jdi menkeu😢"
"rizaldisyamsir","Bu  jadi Cagub di Jawa Tengah aja. Kemungkinan elektabikitasnya tinggi"
"bimoadityaa","BTP Untuk perubahan Jkt"
"banananaofficialy","Emang ada partai yang berani ngusung pak Anis duet sama pak Ahok? Kalau ada yang berani bisa susah ngelawan.nya.."
"yanpurwandi","400 responden doang. Coba yg respondennya wrga jkt"
"resall_18","Bujug tumben itu gacoan gue paling atas,biasanye dibikin paling bawah."
"jefry_arsyavin","Juaranya tetep Mas Kaesang👏"
"red_xxlin","Masing2 sudah pernah menjabat, rakyat Jakarta sudah tahu mana yg punya kapabilitas, kredibilitas dan kompetensi. Mana yg bikin perubahan ke arah yg benar dan tepat"
"aidafaig","Ridwan Kamil atau gak Ahok aja lah ya Allah gubernur Jkt. At least lebih nyata kerjanya"
"_nubaqi_","Kaesang ngapain coek🗿"
"artdiputro","Kalau versi LSI?"
"affan_a.d","Paling bener memang pak anis trus wakil nya ahok👏👏😂"
"abayjuro","Ada ada aja kelakuan orang yang kalo markir motornya  ngga diruang tamu, trus standar nya harus di alasin kain atau kardus"
"donal79","gak minat..."
"ariefprasetia","😂😂😂"
"hasan_asyari1","Pak Heru Budi masih ada? 😂"
"ilyaswkoerniawan","kaget, si bungsu masih dibawah, padahal...harusnya teratas,..mana survey qodori.."
"opa_jimm","😂😂😂😂😂 ketawain aja,"
"adirvan_ongorsbunny","Pak Anis dan Pak Ahok dipasangin aja biar akur👏👏"
"jparwant7","ABS, asal bukan sologiensis"
"parsib67",""
"hairul_farr","Mana nih kaesang kok gk ada"
"kamilakebelet","Msh ada 1 persen ya yg milih bapak ituh?"
"ayip1728","Ahok - Sri Mulyani"
"azwadiahmad4","Goodbener Pak Anies❤️"
"steve_hp_wj","Ahok 🔥🔥🔥"
"cikalaulia0405","Gk ada nama kreji ric"
"l40d3nti","1%"
"rfs_sinaga","Kalah capres .eehhh nyalon lagi..apa namanya ini.. prop kembang,gak ada yg Laen bermutu😂😂"
"jaransun_","Colek kang"
"pari_ban_cibubur","Masalah nya nanti banyak pemilih gelap atau kampanye jorjoran yg bikin nomor tengah atau buntut juara, contohnya makan siang gratis gitu"
"pakdeto7171","Tolong diduetkan Ahok Sri Mulyani... Wan sbut ga akan dapet panggung di Nusantara ini"
"pari_ban_cibubur","Udah pasangkan aja anis ahok maju lewat pdip toh dulu yg bawa anis aja udah bersebrangan kan. Brarti bukan anis kemarin yg bawa isu sara tapi pendukungnya dan partai pendukungnya yaitu gerindra"
"maryanto232","Kalau gubernur yg lalu berhasil meniadakan banjir maka tentunya sampai sekarang tdk ada banjir. Sehingga gubernur selanjutnya akan menangani yg lain"
"andy_jojo48","seandainya ""Komeng"" ada pasti w LBH milih beliau....yg kepilih bener2 dr rakyat...yg tidak pernah ""menjatuhkan...omongnny konsisten..TDK memecah belah ....bukan budak partai....yah gitu lah😂"
"aomine_evo","Semangat Warga Jakarta. 👏"
"rwikuwibowo","Asikkk pak Anies terpilih lagi jadi gubernur versi survey kompas👏👏👏"
"asep_atib_al123","Yaudahh biar adilll Pak Anies jadi Gubernur nya,pak Ahok jadi wakil nya👏"
"pajak_inpres_kosmetik_kutacane","Jakarta anda parah! 😂😂😂"
"juriantovanpersie10","Ahokkk aja"
"andy_wijay4","Asekk ada lahan buat mkn nasi bungkus ini buzzer gorong gorong 😂"
"angginurul_","Pak anies ma pak ahok cocok bgt"
"ani_d.rusmiyani","Pak Ahok aja"
"issyudhie","Ga menjamin...."
"kumiko972","AHOK 🔥🔥🔥"
"ichio_","Tukang palak pajak ngapain disitu?"
"nuky_ars","ABAH : Anies - Basuki Tjahya Purnama.  duet Bomber nihh"
"nuky_ars","ABAH : Anies Baswedan - AHok 🔥"
"henricusjsw","Tunggu aja besok jg lembaga survey lgsg berubah. Yg 1% pasti berubah 😂😂😂"
"purbasari.ayu","Ntar niy versiny si qodari beda....😂😂😂😂"
"tooon93","Anis😍 tetap anis😍"
"gnkplt28","erick2 😂"
"sitorus_ucok90","pak ahok ke sumut please.."
"amrighiffari12","Tumben anak presiden survey nya kecil"
"christian_sidarta","Serius nanya emang bener kalau mantan gubernur tidak bisa mencalonkan sebagai wakil?"
"warshaka","Sekarang pendukung Anies percaya hasil survei?"
"great_aset_property_rian","Hati2 di tikungan ada Kabah,langsung naik😁🤣"
"olgakoswanurfandianka","Pak Ahok ayo gas lagi bapak. 🙌🔥👏😍"
"rayhan.rauf","PDI punya kader terbaik ahok aja jkrta 1 ngapain incer jkrta 2"
"kiki_jpg","Hara tenang harap tenang 😂"
"aldo.s.jr97","Idih amit2 klo si omon2"
"syarifromdhoni","udah give up aja, daripada ngabisin duit buat lawan orang yg pasti menang"
"shinta.rs_","Heru udah ga tertolong"
"arief.ramadhan721","Coba dong anies di jawa barat apa elektabilitasnya bisa ngalahin RK😂"
"danielvergasmoon01","Abah we love u🔥"
"andrechristopher27","Waktu itu katanya ada survei yg bilang tingkat kepuasan terhadap Pj Heru tinggi….lha kok paling bontot ? 😂😂😂"
